Medication,description,active_ingredient,side_effects,therapeutic_effect,number_reviews,rating,overdose,storage,drug_interactions,URL,summary,sentiment_reviews
ubrelvy,"Ubrelvy tablets are used to treat migraine headaches in adults, with or without aura. Works by blocking CGRP protein in nerve endings.",ubrogepant,"nausea, sleepiness, dry mouth, allergic reactions, difficulty breathing, swelling","migraine pain relief, migraine symptom reduction",255,6.3,"Can be fatal. Symptoms include irregular heart rhythm, feeling faint, seizures, coma",Store at room temperature between 68°F to 77°F (20°C to 25°C),"Strong CYP3A4 inhibitors like ketoconazole, clarithromycin, itraconazole should not be taken together",https://www.drugs.com/ubrelvy.html,Reviews indicate moderate effectiveness for acute migraine treatment with common side effects of nausea and drowsiness. Many users report pain relief within 2 hours but effectiveness varies between individuals.,0.3
nurtec-odt,Nurtec ODT is used to treat acute migraine attacks and prevent episodic migraines by blocking CGRP receptors in the brain,rimegepant,"nausea, indigestion, stomach pain, allergic reactions, delayed hypersensitivity reactions","acute migraine relief, migraine prevention",316,6.4,,"Keep tablets in original blister packaging, store at room temperature between 68°F to 77°F","Strong CYP3A4 inhibitors, P-gp inhibitors, avoid grapefruit juice",https://www.drugs.com/nurtec-odt.html,Reviews show effectiveness for both acute treatment and prevention of migraines. Common side effects include nausea but generally well tolerated.,0.4
qulipta,Qulipta is used to help prevent episodic and chronic migraine headaches in adults by blocking CGRP protein,atogepant,"nausea, constipation, fatigue, weight loss, allergic reactions",migraine prevention,164,8.0,,Store at room temperature away from moisture and heat,"Strong CYP3A4 inhibitors/inducers, cyclosporine, St. John's wort",https://www.drugs.com/qulipta.html,Reviews indicate good effectiveness for migraine prevention with 54% reduction in monthly migraine days. Weight loss and nausea are common side effects.,0.8
paracetamol,Paracetamol is an analgesic and antipyretic drug used to temporarily relieve mild-to-moderate pain and fever,paracetamol (acetaminophen),"allergic reactions, skin rashes, liver damage with overdose","pain relief, fever reduction",13,5.9,"Can cause serious liver damage. Symptoms include paleness, nausea, sweating, vomiting within 24 hours",Store below 77°F (25°C) unless instructed otherwise,"Warfarin, metoclopramide, cholestyramine, alcohol",https://www.drugs.com/paracetamol.html,Reviews indicate effectiveness for mild pain and fever relief. Generally well tolerated when taken as directed.,0.3
diclofenac,Diclofenac is a nonsteroidal anti-inflammatory drug used to treat pain and inflammation,diclofenac,"nausea, indigestion, stomach pain, dizziness, drowsiness, headache","pain relief, inflammation reduction",692,7.4,,Store at room temperature away from moisture and heat,"Aspirin, blood thinners, heart/blood pressure medications, other NSAIDs",https://www.drugs.com/diclofenac.html,Reviews show good effectiveness for pain and inflammation with common GI side effects. Risk of cardiovascular events with long-term use.,0.7
amitriptyline,"Amitriptyline is a tricyclic antidepressant used to treat depression, insomnia, migraine prevention, and pain",amitriptyline,"drowsiness, dry mouth, weight changes, constipation, blurred vision","depression treatment, pain relief, migraine prevention",1799,7.6,,Store at room temperature away from moisture and heat,"MAO inhibitors, other antidepressants, heart medications",https://www.drugs.com/amitriptyline.html,Reviews indicate effectiveness for multiple conditions but significant side effects. Takes 4-6 weeks for full effect.,0.6
hydroxyzine,Hydroxyzine is an antihistamine used to treat anxiety disorders and allergic conditions,hydroxyzine,"drowsiness, dry mouth, headache, dizziness","anxiety relief, allergy relief",1400,5.8,"Symptoms include severe drowsiness, nausea, vomiting, uncontrolled muscle movements, seizures",Store at room temperature away from moisture and heat,"Other sedating medications, alcohol, MAO inhibitors",https://www.drugs.com/hydroxyzine.html,Reviews show moderate effectiveness for anxiety and allergies but significant drowsiness. Short-term use recommended.,0.2
tramadol,Tramadol is an opioid medication used to treat moderate to moderately severe chronic pain,tramadol,"nausea, constipation, dizziness, drowsiness, headache",pain relief,1871,7.0,"Can be fatal. Symptoms include slow breathing, seizures, coma",Store at room temperature away from moisture and heat,"Alcohol, sedatives, other opioids, antidepressants",https://www.drugs.com/tramadol.html,Reviews indicate good pain relief but concerns about addiction potential. Side effects and withdrawal symptoms commonly reported.,0.5
cyclobenzaprine,Cyclobenzaprine is a muscle relaxant that works by blocking nerve impulses and pain sensations,cyclobenzaprine,"drowsiness, dry mouth, dizziness, fatigue, constipation","muscle relaxation, pain relief",617,6.0,"Can be fatal. Symptoms include severe drowsiness, fast heartbeats, tremors, agitation",Store at room temperature away from moisture and heat,"MAO inhibitors, other muscle relaxants, alcohol, antidepressants",https://www.drugs.com/cyclobenzaprine.html,Reviews show effectiveness for muscle spasms but significant drowsiness. Short-term use (2-3 weeks) recommended.,0.3
duloxetine,Duloxetine is a selective serotonin and norepinephrine reuptake inhibitor antidepressant,duloxetine,"nausea, dry mouth, constipation, drowsiness, fatigue, insomnia","depression treatment, anxiety relief, pain management",2455,6.3,"Symptoms include vomiting, dizziness, seizures, fast heartbeats, fainting, coma",Store at room temperature away from moisture and heat,"MAO inhibitors, NSAIDs, other antidepressants",https://www.drugs.com/duloxetine.html,Reviews indicate effectiveness for multiple conditions but significant withdrawal effects. Takes 6-8 weeks for full antidepressant effect.,0.4
